ItemID,Quality,Ilvl,Req Lvl,Name
17,0,1,0,Martin Fury
25,1,1,1,Worn Shortsword
35,1,1,1,Bent Staff
36,1,1,1,Worn Mace
37,1,1,1,Worn Axe
38,1,1,0,Recruit's Shirt
39,1,1,1,Recruit's Pants
40,1,1,0,Recruit's Boots
43,1,1,0,Squire's Boots
44,1,1,1,Squire's Pants
45,1,1,0,Squire's Shirt
47,1,1,0,Footpad's Shoes
48,1,1,1,Footpad's Pants
49,1,1,0,Footpad's Shirt
51,1,1,0,Neophyte's Boots
52,1,1,1,Neophyte's Pants
53,1,1,0,Neophyte's Shirt
55,1,1,0,Apprentice's Boots
56,1,1,1,Apprentice's Robe
57,1,1,1,Acolyte's Robe
59,1,1,0,Acolyte's Shoes
60,1,5,0,Layered Tunic
61,1,3,0,Dwarven Leather Pants
79,1,3,0,Dwarven Cloth Britches
80,1,5,0,Soft Fur-Lined Shoes
85,1,5,1,Dirty Leather Vest
88,0,1,1,Deprecated Old Pants
91,0,1,1,OLDDwarven Initiate's Pants
100,0,1,1,Deprecated Dwarven Squire's Pants
117,1,1,1,Tough Jerky
118,1,5,1,Minor Healing Potion
120,1,1,1,Thug Pants
121,1,1,0,Thug Boots
127,1,1,0,Trapper's Shirt
128,0,1,1,Deprecated Tauren Trapper's Pants
129,1,1,0,Rugged Trapper's Boots
138,1,1,0,Deprecated War Harness
139,1,1,1,Brawler's Pants
140,1,1,0,Brawler's Boots
143,0,1,1,"Monster - Shield, Stormwind Guard"
147,1,1,1,Rugged Trapper's Pants
148,1,1,0,Rugged Trapper's Shirt
153,1,1,1,Primitive Kilt
154,1,1,0,Primitive Mantle
156,0,1,1,Deprecated Tauren Recruit's Pants
159,1,1,1,Refreshing Spring Water
182,1,1,0,Garrick's Head
192,0,75,0,Martin's Broken Staff
193,1,5,1,Tattered Cloth Vest
194,1,5,1,Tattered Cloth Pants
195,1,5,1,Tattered Cloth Boots
200,1,22,17,Thick Cloth Vest
201,1,22,17,Thick Cloth Pants
202,1,22,17,Thick Cloth Shoes
203,1,22,17,Thick Cloth Gloves
209,1,5,1,Dirty Leather Pants
210,1,5,1,Dirty Leather Boots
236,1,22,17,Cured Leather Armor
237,1,22,17,Cured Leather Pants
238,1,22,17,Cured Leather Boots
239,1,22,17,Cured Leather Gloves
285,1,22,17,Scalemail Vest
286,1,22,17,Scalemail Pants
287,1,22,17,Scalemail Boots
414,1,5,5,Dalaran Sharp
422,1,15,15,Dwarven Mild
537,0,1,0,Dull Frenzy Scale
555,0,10,0,Rough Vulture Feathers
556,0,1,0,Buzzard Beak
647,4,57,52,Destiny
710,1,14,0,Bracers of the People's Militia
711,1,5,1,Tattered Cloth Gloves
714,1,5,1,Dirty Leather Gloves
718,1,22,17,Scalemail Gloves
719,1,1,0,Rabbit Handler Gloves
720,3,28,23,Brawler Gloves
723,1,12,0,Goretusk Liver
724,1,5,5,Goretusk Liver Pie
725,1,1,0,Gnoll Paw
727,2,10,5,Notched Shortsword
